epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.292,1.91323,4.56145,1.72515,0.49235,0.0842,0.0795,0.05445,1.14591,3.50865,1.16999,0.000114196,0.000114196,0.000114196
2,1332.37,1.24696,2.88728,1.20057,0.47472,0.38645,0.33835,0.24562,1.01653,1.98593,1.08505,0.000224658,0.000224658,0.000224658
3,1995.74,1.10137,1.89818,1.11808,0.76395,0.54095,0.59226,0.43549,0.92771,1.39144,1.02078,0.000330566,0.000330566,0.000330566
4,2647.44,1.02847,1.47063,1.06819,0.84926,0.64375,0.70167,0.52109,0.88854,1.10959,0.99281,0.000324507,0.000324507,0.000324507
5,3298.83,0.98482,1.24316,1.03775,0.84096,0.68924,0.75039,0.56229,0.86287,0.96847,0.97534,0.000317676,0.000317676,0.000317676
6,3946.36,0.96522,1.10256,1.02227,0.82211,0.73673,0.7725,0.57771,0.86318,0.8908,0.96494,0.000310845,0.000310845,0.000310845
7,4597.54,0.93939,1.01408,1.00688,0.84482,0.76602,0.80857,0.61133,0.84291,0.81011,0.95418,0.000304014,0.000304014,0.000304014
8,5273.03,0.93577,0.95109,1.00146,0.848,0.78995,0.83444,0.63216,0.83525,0.78104,0.95178,0.000297183,0.000297183,0.000297183
9,5924.18,0.91178,0.88715,0.99012,0.87554,0.80655,0.84693,0.64061,0.82783,0.72768,0.94583,0.000290352,0.000290352,0.000290352
10,6574.5,0.90588,0.84933,0.98616,0.89565,0.81886,0.85167,0.65133,0.82463,0.69007,0.9413,0.000283521,0.000283521,0.000283521
11,7231.36,0.90025,0.81295,0.98066,0.89246,0.82636,0.88135,0.67371,0.8077,0.67541,0.93418,0.00027669,0.00027669,0.00027669
12,7878.48,0.89244,0.79539,0.9772,0.91166,0.83174,0.89511,0.68017,0.81271,0.65507,0.93621,0.000269859,0.000269859,0.000269859
13,8524.4,0.88416,0.77303,0.97385,0.90586,0.83633,0.89565,0.68397,0.80844,0.63375,0.93055,0.000263028,0.000263028,0.000263028
14,9172.76,0.88668,0.75009,0.97462,0.93113,0.81598,0.90927,0.69529,0.80627,0.63729,0.92969,0.000256197,0.000256197,0.000256197
15,9819.56,0.87969,0.73365,0.96912,0.92784,0.84622,0.91107,0.70309,0.80581,0.60015,0.92887,0.000249366,0.000249366,0.000249366
